"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes"
"idBank";"010767602";""
"Dernière mise à jour";"06/05/2026 08:45";""
"Période";"";""
"2026-03";"98.5";"A"
"2026-02";"97.67";"A"
"2026-01";"98.1";"A"
"2025-12";"99.03";"A"
"2025-11";"97.7";"A"
"2025-10";"97.63";"A"
"2025-09";"98.31";"A"
"2025-08";"97.72";"A"
"2025-07";"98.77";"A"
"2025-06";"99.71";"A"
"2025-05";"99.11";"A"
"2025-04";"100.15";"A"
"2025-03";"99.17";"A"
"2025-02";"99.71";"A"
"2025-01";"100.75";"A"
"2024-12";"98.88";"A"
"2024-11";"97.93";"A"
"2024-10";"100.04";"A"
"2024-09";"100.68";"A"
"2024-08";"100.41";"A"
"2024-07";"100.15";"A"
"2024-06";"99.26";"A"
"2024-05";"99.92";"A"
"2024-04";"99.51";"A"
"2024-03";"99.06";"A"
"2024-02";"100.36";"A"
"2024-01";"98.21";"A"
"2023-12";"98.05";"A"
"2023-11";"96.58";"A"
"2023-10";"97.51";"A"
"2023-09";"97.27";"A"
"2023-08";"98.99";"A"
"2023-07";"97.93";"A"
"2023-06";"98.3";"A"
"2023-05";"98.25";"A"
"2023-04";"97.46";"A"
"2023-03";"97.92";"A"
"2023-02";"97.48";"A"
"2023-01";"97.05";"A"
"2022-12";"98.62";"A"
"2022-11";"101.33";"A"
"2022-10";"98.95";"A"
"2022-09";"98.49";"A"
"2022-08";"98.86";"A"
"2022-07";"98.74";"A"
"2022-06";"99.19";"A"
"2022-05";"97.23";"A"
"2022-04";"98.28";"A"
"2022-03";"100.45";"A"
"2022-02";"101.19";"A"
"2022-01";"102.02";"A"
"2021-12";"100.82";"A"
"2021-11";"102.17";"A"
"2021-10";"100.91";"A"
"2021-09";"99.75";"A"
"2021-08";"99.92";"A"
"2021-07";"100.61";"A"
"2021-06";"99.25";"A"
"2021-05";"98.25";"A"
"2021-04";"99.02";"A"
"2021-03";"100.17";"A"
"2021-02";"98.4";"A"
"2021-01";"100.74";"A"
"2020-12";"97.91";"A"
"2020-11";"98.86";"A"
"2020-10";"98.66";"A"
"2020-09";"99.75";"A"
"2020-08";"98.39";"A"
"2020-07";"99.22";"A"
"2020-06";"99.23";"A"
"2020-05";"96.95";"A"
"2020-04";"96.47";"A"
"2020-03";"99.55";"A"
"2020-02";"101.74";"A"
"2020-01";"99.74";"A"
"2019-12";"99.87";"A"
"2019-11";"99.93";"A"
